Time(ms),RPM,TPS(%),Coolant(C),MAP(mBar),VBAT(V),Gear,Lambda1,CRC32
20020,1800,-1.00,2.1,-1.0,14.18,-1,1.002,27
20040,1800,-1.00,2.1,-1.0,14.13,-1,1.002,22
20060,1800,-1.00,2.1,-1.0,14.20,-1,1.002,20
20080,1800,-1.00,2.2,-1.0,14.14,-1,1.002,30
20100,1800,-1.00,2.2,-1.0,14.18,-1,1.002,27
20120,1800,-1.00,2.2,-1.0,14.17,-1,1.002,22
20140,1800,-1.00,2.2,-1.0,14.14,-1,1.002,19
20160,1800,-1.00,2.2,-1.0,14.10,-1,1.002,21
20180,1800,-1.00,2.2,-1.0,14.12,-1,1.002,25
20200,1800,-1.00,2.3,-1.0,14.11,-1,1.002,16
20220,1800,-1.00,2.3,-1.0,14.16,-1,1.002,21
20240,1800,-1.00,2.3,-1.0,14.16,-1,1.002,19
20260,1800,-1.00,2.3,-1.0,14.19,-1,1.002,30
20280,1800,-1.00,2.3,-1.0,14.11,-1,1.002,24
20300,1800,-1.00,2.3,-1.0,14.10,-1,1.002,16
20320,1800,-1.00,2.4,-1.0,14.15,-1,1.002,16
20340,1800,-1.00,2.4,-1.0,14.12,-1,1.002,17
20360,1800,-1.00,2.4,-1.0,14.11,-1,1.002,16
20380,1800,-1.00,2.4,-1.0,14.16,-1,1.002,25
20400,1800,-1.00,2.4,-1.0,14.19,-1,1.002,25
20420,1800,-1.00,2.5,-1.0,14.15,-1,1.002,22
20440,1800,-1.00,2.5,-1.0,14.15,-1,1.002,16
20460,1800,-1.00,2.5,-1.0,14.14,-1,1.002,19
20480,1800,-1.00,2.5,-1.0,14.18,-1,1.002,17
20500,1800,-1.00,2.5,-1.0,14.17,-1,1.002,23
20520,1800,-1.00,2.5,-1.0,14.11,-1,1.002,19
20540,1800,-1.00,2.6,-1.0,14.10,-1,1.002,23
20560,1800,-1.00,2.6,-1.0,14.19,-1,1.002,28
20580,1800,-1.00,2.6,-1.0,14.17,-1,1.002,28
20600,1800,-1.00,2.6,-1.0,14.15,-1,1.002,21
20620,1800,-1.00,2.6,-1.0,14.18,-1,1.002,26
20640,1800,-1.00,2.7,-1.0,14.13,-1,1.002,22
20660,1800,-1.00,2.7,-1.0,14.17,-1,1.002,16
20680,1800,-1.00,2.7,-1.0,14.19,-1,1.002,16
20700,1800,-1.00,2.7,-1.0,14.17,-1,1.002,23
20720,1800,-1.00,2.7,-1.0,14.14,-1,1.002,22
20740,1800,-1.00,2.7,-1.0,14.12,-1,1.002,22
20760,1800,-1.00,2.8,-1.0,14.17,-1,1.002,30
20780,1800,-1.00,2.8,-1.0,14.16,-1,1.002,17
20800,1800,-1.00,2.8,-1.0,14.19,-1,1.002,25
20820,1800,-1.00,2.8,-1.0,14.13,-1,1.002,17
20840,1800,-1.00,2.8,-1.0,14.17,-1,1.002,19
20860,1800,-1.00,2.9,-1.0,14.11,-1,1.002,22
20880,1800,-1.00,2.9,-1.0,14.17,-1,1.002,30
20900,1800,-1.00,2.9,-1.0,14.10,-1,1.002,16
20920,1800,-1.00,2.9,-1.0,14.19,-1,1.002,27
20940,1800,-1.00,2.9,-1.0,14.11,-1,1.002,21
20960,1800,-1.00,2.9,-1.0,14.10,-1,1.002,22
20980,1800,-1.00,3.0,-1.0,14.12,-1,1.002,18
21000,1800,-1.00,3.0,-1.0,14.13,-1,1.002,19
21020,1800,-1.00,3.0,-1.0,14.20,-1,1.002,17
21040,1800,-1.00,3.0,-1.0,14.18,-1,1.002,28
21060,1800,-1.00,3.0,-1.0,14.12,-1,1.002,20
21080,1800,-1.00,3.0,-1.0,14.20,-1,1.002,27
21100,1800,-1.00,3.1,-1.0,14.17,-1,1.002,23
21120,1800,-1.00,3.1,-1.0,14.14,-1,1.002,22
21140,1800,-1.00,3.1,-1.0,14.17,-1,1.002,19
21160,1800,-1.00,3.1,-1.0,14.18,-1,1.002,30
21180,1800,-1.00,3.1,-1.0,14.15,-1,1.002,29
21200,1800,-1.00,3.2,-1.0,14.16,-1,1.002,22
21220,1800,-1.00,3.2,-1.0,14.15,-1,1.002,23
21240,1800,-1.00,3.2,-1.0,14.20,-1,1.002,23
21260,1800,-1.00,3.2,-1.0,14.18,-1,1.002,30
21280,1800,-1.00,3.2,-1.0,14.16,-1,1.002,30
21300,1800,-1.00,3.2,-1.0,14.11,-1,1.002,16
21320,1800,-1.00,3.3,-1.0,14.19,-1,1.002,27
21340,1800,-1.00,3.3,-1.0,14.13,-1,1.002,23
21360,1800,-1.00,3.3,-1.0,14.18,-1,1.002,30
21380,1800,-1.00,3.3,-1.0,14.10,-1,1.002,24
21400,1800,-1.00,3.3,-1.0,14.10,-1,1.002,23
21420,1800,-1.00,3.4,-1.0,14.17,-1,1.002,21
21440,1800,-1.00,3.4,-1.0,14.14,-1,1.002,16
21460,1800,-1.00,3.4,-1.0,14.11,-1,1.002,23
21480,1800,-1.00,3.4,-1.0,14.13,-1,1.002,27
21500,1800,-1.00,3.4,-1.0,14.13,-1,1.002,18
21520,1800,-1.00,3.4,-1.0,14.15,-1,1.002,22
21540,1800,-1.00,3.5,-1.0,14.13,-1,1.002,23
21560,1800,-1.00,3.5,-1.0,14.15,-1,1.002,19
21580,1800,-1.00,3.5,-1.0,14.18,-1,1.002,16
21600,1800,-1.00,3.5,-1.0,14.17,-1,1.002,20
21620,1800,-1.00,3.5,-1.0,14.14,-1,1.002,21
21640,1800,-1.00,3.6,-1.0,14.19,-1,1.002,29
